Timestamp,Open,High,Low,Close
1649747940,285.262,285.28,285.239,285.239
1649748000,285.239,285.296,285.237,285.273
1649748060,285.273,285.294,285.192,285.208
1649748120,285.208,285.306,285.208,285.286
1649748180,285.28,285.29,285.222,285.257
1649748240,285.257,285.269,285.213,285.247
1649748300,285.245,285.259,285.217,285.237
1649748360,285.235,285.284,285.202,285.263
1649748420,285.263,285.275,285.245,285.263
1649748480,285.259,285.306,285.215,285.215
1649748540,285.215,285.215,285.153,285.158
1649748600,285.155,285.161,285.089,285.097
1649748660,285.095,285.1,285.063,285.07
1649748720,285.072,285.079,285.008,285.012
1649748780,285.01,285.059,284.991,284.991
1649748840,284.991,284.995,284.941,284.959
1649748900,284.959,284.966,284.912,284.964
1649748960,284.964,284.981,284.918,284.918
1649749020,284.923,284.931,284.888,284.931
1649749080,284.933,284.949,284.892,284.903
1649749140,284.906,284.941,284.89,284.921
1649749200,284.917,285.016,284.91,285.013
1649749260,285.013,285.039,284.999,285.035
1649749320,285.037,285.045,284.99,285.004
1649749380,285.002,285.024,284.926,284.948
1649749440,284.948,284.975,284.92,284.966
1649749500,284.966,284.975,284.89,284.91
1649749560,284.912,284.933,284.881,284.883
1649749620,284.883,284.948,284.883,284.921
1649749680,284.921,284.925,284.885,284.9
1649749740,284.903,284.913,284.835,284.838
1649749800,284.838,284.846,284.798,284.837
1649749860,284.837,284.844,284.788,284.797
1649749920,284.799,284.83,284.779,284.814
1649749980,284.817,284.892,284.811,284.886
1649750040,284.886,284.892,284.824,284.828
1649750100,284.83,284.83,284.7,284.72
1649750160,284.72,284.76,284.693,284.711
1649750220,284.711,284.728,284.676,284.687
1649750280,284.687,284.713,284.587,284.593
1649750340,284.59,284.609,284.575,284.58
1649750400,284.595,284.611,284.559,284.562
1649750460,284.561,284.577,284.513,284.54
1649750520,284.541,284.541,284.486,284.486
1649750580,284.483,284.53,284.439,284.439
1649750640,284.434,284.477,284.401,284.409
1649750700,284.407,284.416,284.371,284.384
1649750760,284.386,284.4,284.36,284.383
1649750820,284.383,284.397,284.352,284.377
1649750880,284.377,284.407,284.361,284.373
1649750940,284.373,284.407,284.373,284.391
1649751000,284.394,284.437,284.388,284.398
1649751060,284.398,284.422,284.366,284.375
1649751120,284.375,284.416,284.344,284.41
1649751180,284.415,284.455,284.357,284.378
1649751240,284.378,284.413,284.36,284.391
1649751300,284.392,284.403,284.329,284.338
1649751360,284.34,284.385,284.34,284.359
1649751420,284.345,284.363,284.307,284.326
1649751480,284.339,284.398,284.326,284.39
1649751540,284.388,284.401,284.333,284.353
1649751600,284.353,284.369,284.317,284.364
1649751660,284.364,284.441,284.362,284.435
1649751720,284.437,284.518,284.437,284.518
1649751780,284.524,284.582,284.519,284.564
1649751840,284.561,284.585,284.534,284.535
1649751900,284.537,284.585,284.534,284.561
1649751960,284.563,284.578,284.514,284.528
1649752020,284.526,284.569,284.525,284.563
1649752080,284.554,284.57,284.499,284.506
1649752140,284.509,284.567,284.505,284.567
1649752200,284.56,284.591,284.53,284.541
1649752260,284.54,284.542,284.5,284.517
1649752320,284.517,284.562,284.504,284.557
1649752380,284.555,284.621,284.54,284.592
1649752440,284.592,284.609,284.561,284.594
1649752500,284.594,284.625,284.567,284.571
1649752560,284.571,284.644,284.544,284.644
1649752620,284.644,284.7,284.644,284.689
1649752680,284.691,284.734,284.655,284.715
1649752740,284.715,284.753,284.685,284.706
1649752800,284.701,284.764,284.699,284.75
1649752860,284.743,284.791,284.716,284.785
1649752920,284.785,284.805,284.757,284.763
1649752980,284.763,284.819,284.758,284.8
1649753040,284.797,284.804,284.74,284.747
1649753100,284.747,284.752,284.691,284.7
1649753160,284.698,284.71,284.651,284.655
1649753220,284.664,284.69,284.632,284.64
1649753280,284.64,284.664,284.629,284.664
1649753340,284.664,284.674,284.623,284.667
1649753400,284.67,284.7,284.642,284.7
1649753460,284.697,284.756,284.687,284.702
1649753520,284.704,284.731,284.697,284.711
1649753580,284.709,284.715,284.583,284.61
1649753640,284.607,284.691,284.602,284.666
1649753700,284.667,284.702,284.638,284.651
1649753760,284.655,284.696,284.648,284.666
1649753820,284.666,284.687,284.626,284.671
1649753880,284.671,284.724,284.656,284.722
1649753940,284.723,284.742,284.609,284.609
1649754000,284.609,284.635,284.593,284.615
1649754060,284.617,284.628,284.578,284.584
1649754120,284.584,284.602,284.538,284.566
1649754180,284.566,284.654,284.564,284.639
1649754240,284.642,284.642,284.581,284.581
1649754300,284.581,284.637,284.56,284.56
1649754360,284.557,284.608,284.52,284.569
1649754420,284.568,284.599,284.561,284.564
1649754480,284.564,284.59,284.509,284.509
1649754540,284.514,284.523,284.462,284.463
1649754600,284.466,284.506,284.437,284.437
1649754660,284.437,284.493,284.424,284.44
